Client,Timeframe,Unique Users,Total Logins,Cumulative Active Users,Login Ratio,Post Count,Comments,Likes,Boosts,Views,Reuses,Highlights,Post Count Ratio,Boosts Ratio,Reuses Ratio,Highlights Ratio,Views Ratio,Comments Ratio,Likes Ratio,Connection %,Connection % (Cumulative Variant),Creation %,Selection %,Reuse %
Barilla,2021-08-01,2,14,2,7.0,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.004310344827586207,1.0,0.0,0.0,0.0
Barilla,2021-09-01,2,11,2,5.5,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.004310344827586207,1.0,0.0,0.0,0.0
Barilla,2021-10-01,141,264,141,1.87,20,0,50,1,336,0,1,0.14184397163120568,0.0070921985815602835,0.0,0.0070921985815602835,2.382978723404255,0.0,0.3546099290780142,0.30387931034482757,1.0,0.14184397163120568,0.1,0.0
Barilla,2021-11-01,102,213,199,2.09,10,1,28,2,389,0,4,0.09803921568627451,0.0196078431372549,0.0,0.0392156862745098,3.8137254901960786,0.00980392156862745,0.27450980392156865,0.21982758620689655,0.5125628140703518,0.09803921568627451,0.6,0.0
Barilla,2021-12-01,145,311,249,2.14,18,4,44,1,574,0,1,0.12413793103448276,0.006896551724137931,0.0,0.006896551724137931,3.9586206896551723,0.027586206896551724,0.30344827586206896,0.3125,0.5823293172690763,0.12413793103448276,0.1111111111111111,0.0
Barilla,2022-01-01,91,276,267,3.03,8,1,51,4,323,0,1,0.08791208791208792,0.04395604395604396,0.0,0.01098901098901099,3.5494505494505493,0.01098901098901099,0.5604395604395604,0.1961206896551724,0.3408239700374532,0.08791208791208792,0.625,0.0
Barilla,2022-02-01,121,402,290,3.32,4,17,136,3,866,0,1,0.03305785123966942,0.024793388429752067,0.0,0.008264462809917356,7.1570247933884295,0.14049586776859505,1.1239669421487604,0.2607758620689655,0.41724137931034483,0.03305785123966942,1.0,0.0
Barilla,2022-03-01,93,281,305,3.02,19,6,61,2,458,0,0,0.20430107526881722,0.021505376344086023,0.0,0.0,4.924731182795699,0.06451612903225806,0.6559139784946236,0.20043103448275862,0.30491803278688523,0.20430107526881722,0.10526315789473684,0.0
Barilla,2022-04-01,118,366,326,3.1,14,12,114,6,768,2,0,0.11864406779661017,0.05084745762711865,0.01694915254237288,0.0,6.508474576271187,0.1016949152542373,0.9661016949152542,0.2543103448275862,0.3619631901840491,0.11864406779661017,0.42857142857142855,0.14285714285714285
Barilla,2022-05-01,95,325,334,3.42,26,3,87,3,635,0,2,0.2736842105263158,0.031578947368421054,0.0,0.021052631578947368,6.684210526315789,0.031578947368421054,0.9157894736842105,0.20474137931034483,0.2844311377245509,0.2736842105263158,0.19230769230769232,0.0
Barilla,2022-06-01,77,217,340,2.82,7,1,34,0,366,0,0,0.09090909090909091,0.0,0.0,0.0,4.753246753246753,0.012987012987012988,0.44155844155844154,0.16594827586206898,0.22647058823529412,0.09090909090909091,0.0,0.0
Barilla,2022-07-01,99,304,354,3.07,32,11,78,1,543,1,1,0.32323232323232326,0.010101010101010102,0.010101010101010102,0.010101010101010102,5.484848484848484,0.1111111111111111,0.7878787878787878,0.21336206896551724,0.2796610169491525,0.32323232323232326,0.0625,0.03125
Barilla,2022-08-01,81,259,362,3.2,28,9,135,4,559,0,1,0.345679012345679,0.04938271604938271,0.0,0.012345679012345678,6.901234567901234,0.1111111111111111,1.6666666666666667,0.17456896551724138,0.22375690607734808,0.345679012345679,0.17857142857142858,0.0
Barilla,2022-09-01,72,179,368,2.49,19,2,44,0,244,1,0,0.2638888888888889,0.0,0.013888888888888888,0.0,3.388888888888889,0.027777777777777776,0.6111111111111112,0.15517241379310345,0.1956521739130435,0.2638888888888889,0.0,0.05263157894736842
Barilla,2022-10-01,37,71,372,1.92,4,1,6,0,126,0,0,0.10810810810810811,0.0,0.0,0.0,3.4054054054054053,0.02702702702702703,0.16216216216216217,0.07974137931034483,0.09946236559139784,0.10810810810810811,0.0,0.0
Barilla,2022-11-01,66,123,380,1.86,8,2,17,0,236,0,1,0.12121212121212122,0.0,0.0,0.015151515151515152,3.5757575757575757,0.030303030303030304,0.25757575757575757,0.14224137931034483,0.1736842105263158,0.12121212121212122,0.125,0.0
Barilla,2022-12-01,49,84,383,1.71,7,0,17,0,115,0,0,0.14285714285714285,0.0,0.0,0.0,2.3469387755102042,0.0,0.3469387755102041,0.10560344827586207,0.1279373368146214,0.14285714285714285,0.0,0.0
Barilla,2023-01-01,63,141,391,2.24,3,3,17,0,147,0,2,0.047619047619047616,0.0,0.0,0.031746031746031744,2.3333333333333335,0.047619047619047616,0.2698412698412698,0.13577586206896552,0.16112531969309463,0.047619047619047616,0.6666666666666666,0.0
Barilla,2023-02-01,62,129,399,2.08,5,2,13,2,158,0,0,0.08064516129032258,0.03225806451612903,0.0,0.0,2.5483870967741935,0.03225806451612903,0.20967741935483872,0.1336206896551724,0.15538847117794485,0.08064516129032258,0.4,0.0
Barilla,2023-03-01,45,84,400,1.87,3,1,8,1,83,0,0,0.06666666666666667,0.022222222222222223,0.0,0.0,1.8444444444444446,0.022222222222222223,0.17777777777777778,0.09698275862068965,0.1125,0.06666666666666667,0.3333333333333333,0.0
